balai,nomor_balai,no_prov
BALAI I ACEH,1,01
BALAI II MEDAN,2,03
BALAI II MEDAN,2,09
BALAI III PADANG,3,06
BALAI III PADANG,3,13
BALAI IV JAMBI,4,10
BALAI IV JAMBI,4,11
BALAI V PALEMBANG,5,15
BALAI V PALEMBANG,5,16
BALAI VI JAKARTA,6,20
BALAI VI JAKARTA,6,21
BALAI VI JAKARTA,6,22
BALAI VII SEMARANG,7,24
BALAI VII SEMARANG,7,26
BALAI VIII SURABAYA,8,28
BALAI VIII SURABAYA,8,40
BALAI IX MATARAM,9,42
BALAI X KUPANG,10,44
BALAI XI BANJARMASIN,11,32
BALAI XI BANJARMASIN,11,26
BALAI XII BALIKPAPAN,12,34
BALAI XII BALIKPAPAN,12,35
BALAI XIII MAKASSAR,13,53
BALAI XIII MAKASSAR,13,54
BALAI XIV PALU,14,52
BALAI XV MANADO,15,50
BALAI XV MANADO,15,51
BALAI XVI AMBON,16,60
BALAI XVI AMBON,16,61
BALAI XVII MANOKWARI,17,63
BALAI XVIII JAYAPURA,18,62
BALAI XIX BANDAR LAMPUNG,19,17
BALAI XX PONTIANAK,20,30
BALAI XXI KENDARI,21,56
BALAI XXII MERAUKE,22,62
